date,amount,manufacturer
2020-12-26,9750,Pfizer/BioNTech
2021-01-04,98475,Pfizer/BioNTech
2021-01-05,58500,Pfizer/BioNTech
2021-01-06,2925,Pfizer/BioNTech
2021-01-07,2925,Pfizer/BioNTech
2021-01-11,13650,Pfizer/BioNTech
2021-01-12,83850,Pfizer/BioNTech
2021-01-15,28600,Moderna
2021-01-18,1400,Moderna
2021-01-18,12870,Pfizer/BioNTech
2021-01-19,36270,Pfizer/BioNTech
2021-01-20,37440,Pfizer/BioNTech
2021-01-24,38700,AstraZeneca/Oxford
2021-01-25,52650,Pfizer/BioNTech
2021-01-26,25740,Pfizer/BioNTech
2021-01-30,2900,Moderna
2021-02-01,71370,Pfizer/BioNTech
2021-02-02,25740,Pfizer/BioNTech
2021-02-04,13900,Moderna
2021-02-05,48000,AstraZeneca/Oxford
2021-02-08,71370,Pfizer/BioNTech
2021-02-09,26910,Pfizer/BioNTech
2021-02-10,57600,AstraZeneca/Oxford
2021-02-15,88920,Pfizer/BioNTech
2021-02-16,28080,Pfizer/BioNTech
2021-02-17,96000,AstraZeneca/Oxford
2021-02-22,88920,Pfizer/BioNTech
2021-02-23,31590,Pfizer/BioNTech
2021-02-24,50100,AstraZeneca/Oxford
2021-02-25,48000,Moderna
2021-03-01,84240,Pfizer/BioNTech
2021-03-02,30420,Pfizer/BioNTech
2021-03-03,124800,AstraZeneca/Oxford
2021-03-08,85410,Pfizer/BioNTech
2021-03-09,31590,Pfizer/BioNTech
2021-03-10,60000,AstraZeneca/Oxford
2021-03-12,63600,Moderna
2021-03-15,81900,Pfizer/BioNTech
2021-03-16,35100,Pfizer/BioNTech
2021-03-17,26400,AstraZeneca/Oxford
2021-03-22,166140,Pfizer/BioNTech
2021-03-23,10530,Pfizer/BioNTech
2021-03-25,28800,AstraZeneca/Oxford
2021-03-26,96000,Moderna
2021-03-29,179010,Pfizer/BioNTech
2021-03-31,259200,AstraZeneca/Oxford
2021-04-05,2340,Pfizer/BioNTech
2021-04-06,265590,Pfizer/BioNTech
2021-04-08,80400,Moderna
2021-04-11,33600,AstraZeneca/Oxford
2021-04-12,36000,Johnson&Johnson
2021-04-12,264420,Pfizer/BioNTech
2021-04-13,3510,Pfizer/BioNTech
2021-04-18,81600,AstraZeneca/Oxford
2021-04-19,269100,Pfizer/BioNTech
2021-04-23,26400,AstraZeneca/Oxford
2021-04-24,45600,Moderna
2021-04-26,396630,Pfizer/BioNTech
2021-04-29,30000,Johnson&Johnson
2021-04-30,52800,Moderna
2021-05-02,386400,AstraZeneca/Oxford
2021-05-03,361530,Pfizer/BioNTech
2021-05-06,76800,Moderna
2021-05-10,361530,Pfizer/BioNTech
2021-05-11,74400,AstraZeneca/Oxford
2021-05-12,36000,Johnson&Johnson
2021-05-16,76800,Moderna
2021-05-17,363870,Pfizer/BioNTech
2021-05-20,40800,Johnson&Johnson
2021-05-20,76800,Moderna
2021-05-21,64800,AstraZeneca/Oxford
2021-05-24,209430,Pfizer/BioNTech
2021-05-25,154440,Pfizer/BioNTech
2021-05-28,84000,Johnson&Johnson
2021-05-28,76800,Moderna
2021-05-31,733590,Pfizer/BioNTech
2021-06-01,335200,AstraZeneca/Oxford
2021-06-02,85600,Johnson&Johnson
2021-06-04,76800,Moderna
2021-06-07,656370,Pfizer/BioNTech
2021-06-09,100800,AstraZeneca/Oxford
2021-06-10,36000,Johnson&Johnson
2021-06-14,656370,Pfizer/BioNTech
2021-06-16,76800,Moderna
2021-06-17,36000,Johnson&Johnson
2021-06-21,124800,AstraZeneca/Oxford
2021-06-21,81600,Moderna
2021-06-21,810810,Pfizer/BioNTech
2021-06-24,24000,Johnson&Johnson
2021-06-25,85200,Moderna
2021-06-28,809640,Pfizer/BioNTech
2021-06-30,697500,AstraZeneca/Oxford
2021-06-30,86400,Moderna
2021-07-01,153600,Johnson&Johnson
2021-07-05,441090,Pfizer/BioNTech
2021-07-08,28800,Johnson&Johnson
